cluster,gene,logFC,pvals,adj_pvals
3,SLITRK6,7.6599813,7.268101006922346e-22,3.9803283067214915e-20
3,TSTD1,1.8242453,1.4662788247527105e-24,1.0937957307116206e-22
3,COX7C,1.0767194,3.674112612385279e-24,2.622072414358581e-22
3,SELENOM,1.82373,5.303557314866106e-22,2.9310238855663993e-20
3,CLEC3A,6.2683,9.745777123665034e-20,4.383665060066404e-18
3,CAST,2.2721884,1.432873405564518e-20,7.077301423070305e-19
3,C6orf48,2.3895059,2.104336131842223e-20,1.0226622268606964e-18
3,AC105999.2,6.5169563,3.3210517287309894e-19,1.426556983097314e-17
3,TRPA1,8.146054,6.125121991444894e-19,2.5407342411652537e-17
3,SELENOH,1.825349,2.2611272355096618e-20,1.0929987572822305e-18
3,SSFA2,4.135032,3.994599949355234e-19,1.6918250766813627e-17
3,BEX3,2.3869834,9.52650338166553e-20,4.306407152106011e-18
3,ASAH1,2.1005728,3.510678851936023e-20,1.6529370272479037e-18
3,BMPR1B,4.8015018,1.0172328394285964e-18,4.043723614105738e-17
3,ATP5MC2,1.2014514,1.5590322002039346e-21,8.263326518449334e-20
3,H3F3B,1.2141144,1.0939392923525233e-22,6.4803390694360105e-21
3,AZGP1,2.513377,8.116981726845164e-20,3.687632274749932e-18
3,PBX1,2.2914908,2.324635033448436e-19,1.0178420109014444e-17
3,TFF3,3.2381682,2.2662104372233557e-18,8.703304363463511e-17
3,ESR1,2.8978686,5.873269027561095e-18,2.142147840293762e-16
3,MZT2B,1.4112108,5.527424471789946e-19,2.3139866836059204e-17
3,CCND1,2.1374156,4.143910634637206e-18,1.542436716099972e-16
3,NDUFA4,1.2871903,1.5215928272081839e-18,5.918865489013465e-17
3,GPX4,1.2563156,7.053039256191111e-19,2.886014505575085e-17
3,TCIM,4.0106816,1.0465208391579284e-16,3.333968936979924e-15
3,DNPH1,2.1601324,3.4210458507050325e-17,1.1548100211495367e-15
3,PI15,4.798219,1.904735269444738e-16,5.902074569098251e-15
3,CA12,2.6682332,1.6469401080107537e-16,5.165066321437878e-15
3,MT-CO1,1.0615127,1.5385770656195534e-21,8.178823011286112e-20
3,TPM1,1.4864018,6.486927860049522e-17,2.130227197810103e-15
3,CALM2,1.1198593,2.382480040768634e-16,7.307481505755166e-15
3,ISG15,2.4658158,1.9498771440644742e-15,5.339187762908871e-14
3,IFI6,2.3363106,2.015711398749097e-15,5.469880318132467e-14
3,DYNLT1,1.6373819,2.2574362861260336e-15,6.10754441173233e-14
3,PLAT,3.4983368,9.602428187897919e-15,2.368207017170416e-13
3,TIMP1,1.776877,2.0377817716116147e-15,5.521505257698616e-14
3,CST2,8.961913,2.544524852968789e-14,5.943892011567685e-13
3,SDHC,1.5909766,4.664844097985696e-15,1.2011310932412885e-13
3,GATA3-AS1,3.2351642,3.8837079145265395e-14,8.95673961407412e-13
3,COX20,1.788625,8.377040430097443e-14,1.831732350740366e-12
3,TPRG1,3.7823005,2.826271264353711e-13,5.737045824069398e-12
3,JTB,1.4145104,1.921642595861106e-13,4.008471269870457e-12
3,PLA2G16,2.0483165,2.658974659723299e-13,5.4156442311016e-12
3,SKP1,1.1098222,2.11691521171759e-13,4.370537818087102e-12
3,MPC2,1.709778,4.834968506715655e-13,9.485224471995095e-12
3,NAXE,2.0391939,6.230933068565267e-13,1.208001323357033e-11
3,NAT1,3.8031995,1.0172498964355148e-12,1.9248109470445278e-11
3,ZNF385D,5.30183,1.2908128110153712e-12,2.4047855935535078e-11
3,TRPS1,1.7822516,4.421789084106093e-13,8.731347573811671e-12
3,CUTA,1.1847312,2.5307816384593435e-13,5.174496890148887e-12
3,TFF1,4.025177,1.3678588778219613e-12,2.545706147667217e-11
3,ANKRD30A,2.0822015,6.656468054912604e-13,1.2863730962835903e-11
3,IFITM3,1.5391189,6.222777326155955e-13,1.2077118264585546e-11
3,FOXA1,2.26737,2.5660480626420203e-12,4.609985454064608e-11
3,SRP9,1.4712193,2.2012085472418963e-12,3.986144588996389e-11
3,TSPAN13,1.9863836,3.0900577361614907e-12,5.464415057932933e-11
3,C1orf21,2.2629747,4.112950543289185e-12,7.127672514168552e-11
