group	gene	logFC	pvals	adj_pvals
28	RMDN2	3.412897	7.514663003696223e-15	4.953919378704592e-14
28	IER3IP1	1.1868434	7.369228377678213e-15	4.862064416798064e-14
28	MLH1	1.4997323	7.505321433362812e-15	4.9491252473597574e-14
28	FAM120B	1.1114182	7.623426998894616e-15	5.024235423878824e-14
28	MTMR3	1.5071807	7.692887648199213e-15	5.068616911349327e-14
28	ECD	1.1812773	8.187134056691684e-15	5.3912908930037177e-14
28	FOXP2	4.292087	8.481053098046446e-15	5.5725644765378265e-14
28	MIR3064	2.3038456	8.422541913357823e-15	5.5356398719917304e-14
28	NHLRC2	1.8473964	8.548151913658723e-15	5.612027156710834e-14
28	C20orf111	1.2718284	8.401152632733095e-15	5.523099711849297e-14
28	STXBP1	1.3113002	8.517687355337811e-15	5.593562012015772e-14
28	HCFC2	2.2189322	8.657304636461538e-15	5.6821282928169766e-14
28	MKI67IP	1.5556704	8.855667713641565e-15	5.80754057327023e-14
28	UQCC	1.862476	9.661004828501335e-15	6.321812653440943e-14
28	KIAA1683	1.1614484	9.635095855020888e-15	6.306584224535703e-14
28	LOC654433	2.0601444	1.046570818074674e-14	6.83902575297595e-14
28	PTGIS	2.9217517	1.126139518451782e-14	7.340931824151342e-14
28	LTBP1	1.630623	1.1717199653202531e-14	7.633894418568374e-14
28	EGFLAM	1.8216846	1.2841368891643014e-14	8.354924368373938e-14
28	SLC30A9	1.1024396	1.2730748641834263e-14	8.285205857598644e-14
28	EZH1	1.8085951	1.3290912562083311e-14	8.638009667047461e-14
28	GDF10	2.2564762	1.3952277781686611e-14	9.055539422105799e-14
28	ACVR2A	2.0234263	1.4280073735938947e-14	9.265776547543456e-14
28	RNF185	1.8364799	1.441731671673544e-14	9.349754986826509e-14
28	ABHD16A	1.332168	1.4569360774655148e-14	9.443235817003447e-14
28	LATS1	1.0370183	1.483479753682661e-14	9.610071849628441e-14
28	LOC92249	2.172642	1.5525309488808632e-14	1.0046505060709849e-13
28	MPV17	1.0566107	1.5843237176990527e-14	1.0249464526970041e-13
28	RPS10-NUDT3	1.4594158	1.6666870866087812e-14	1.0764827180778345e-13
28	PTBP2	1.2480592	1.7810026743451276e-14	1.1493858867326612e-13
28	LOC100131067	2.5860665	1.8275478672488453e-14	1.1787880890234796e-13
28	RFX3	1.7859353	1.8713251772133493e-14	1.205724252785875e-13
28	FLJ30403	1.6119367	1.86206249600326e-14	1.2000794588226885e-13
28	ACCS	2.2853541	1.9602551454619332e-14	1.2626830679777288e-13
28	SUZ12P1	2.5848083	2.0380203710753662e-14	1.3113622064839798e-13
28	SEMA5A	2.1366117	2.0623026803452878e-14	1.325560150653541e-13
28	TWSG1	1.1386547	2.1192417664435752e-14	1.3610608305056658e-13
28	QPCTL	1.2347939	2.118058518818325e-14	1.3606662797361776e-13
28	CTBS	1.1922548	2.1759546432103934e-14	1.3967339560296024e-13
28	IL11RA	1.5514313	2.2174269929508124e-14	1.422209744982692e-13
28	GNAL	3.9831839	2.332782593108554e-14	1.494993603413111e-13
28	GORAB	2.5446777	2.433359254981783e-14	1.5586141751847697e-13
28	ATG14	2.1021383	2.5390844924751485e-14	1.6258978261453316e-13
28	CUL7	1.1151924	2.5400531577280263e-14	1.6260827455401822e-13
28	SEMA3B	2.2134113	2.6399729841902652e-14	1.6882415471357912e-13
28	SPPL2B	1.6034999	2.7004091213161813e-14	1.7264283601849535e-13
28	NMNAT1	2.016646	2.767695307293705e-14	1.7689729733977434e-13
28	RPS6KB1	1.2070606	2.830257646554812e-14	1.8084764128413421e-13
28	SEC24B	1.1264472	2.9229181674872045e-14	1.86718573215255e-13
28	RAB12	2.1255703	3.033480402279155e-14	1.9372964160563569e-13
28	RASD1	1.4539455	3.091156868817827e-14	1.973077097184841e-13
28	CCDC142	1.6864474	3.094060456452342e-14	1.974403520196656e-13
28	RNF207	2.7007403	3.1650457740384843e-14	2.0175479684882306e-13
28	HOXB5	1.6399908	3.3132664769567286e-14	2.1097815316659765e-13
28	PRPF39	1.3489959	3.3285470073199783e-14	2.1189475319156758e-13
28	SLC16A2	2.0390384	3.3930905100622864e-14	2.1588865583708358e-13
28	SCOC	1.0506716	3.6523841497912375e-14	2.3183140050572455e-13
28	POLR2J2	2.2068372	3.7461966192736293e-14	2.3759688290418294e-13
