gene	logFC	pvals	adj_pvals	cluster
SIRPG	5.2819185	8.386107219568835e-14	2.1641567018242153e-13	15
APOBEC3H	4.5592194	1.1937646240912617e-13	3.0648642467041376e-13	15
PARP15	3.305399	1.6146225225710582e-13	4.129469367189407e-13	15
LPAR2	3.0748093	3.768671413569072e-13	9.601710607819293e-13	15
NELL2	3.605087	6.69169558941043e-13	1.6962472976959264e-12	15
SQRDL	2.4080114	8.41563357811774e-13	2.1224800953638685e-12	15
DUSP10	2.0207942	1.115965944997122e-12	2.81099734256202e-12	15
NFKBIZ	1.1155386	1.205112853695818e-12	3.0279217429543168e-12	15
CARD16	1.9063296	1.3537061183064184e-12	3.392747163675234e-12	15
IL27RA	3.0163925	1.3931812216695009e-12	3.487312194416773e-12	15
IFNGR1	1.4847099	1.5032538423504993e-12	3.758134605876248e-12	15
LY9	3.2780623	1.9713538977848126e-12	4.922231954518883e-12	15
TMEM156	4.6413765	2.091713000653227e-12	5.209745954304426e-12	15
ZNF101	4.082276	3.1563523811550624e-12	7.832139903610577e-12	15
HMGN4	1.754834	4.4911953303985206e-12	1.1103078690725637e-11	15
RCSD1	2.552947	4.72851548046395e-12	1.166095062999741e-11	15
TNFSF14	3.3597407	9.982197519128297e-12	2.4466170390020337e-11	15
IL12RB1	3.4980032	1.0207608324554424e-11	2.4988025274307037e-11	15
RGS2	1.4253726	1.3656594774928846e-11	3.3390207273664664e-11	15
MTFP1	2.7797556	1.4170394122576419e-11	3.460413705146867e-11	15
GZMH	2.2878227	2.4782509435941342e-11	6.015172193189647e-11	15
MAL	4.0560684	2.8468509830152635e-11	6.901456928521852e-11	15
IFNG	4.136164	2.939083524447638e-11	7.116424998662563e-11	15
TMEM71	3.0351202	3.349450809509901e-11	8.100243795670863e-11	15
ICAM2	1.8213613	4.406783067569217e-11	1.0605976095232772e-10	15
STAT1	1.4387581	4.7911822027748237e-11	1.1517264910516403e-10	15
IGFLR1	2.2949688	1.5267917793439526e-10	3.626583798916752e-10	15
PTPN6	1.8740056	1.9429605358868796e-10	4.598723161862437e-10	15
LOC100128420	6.3387833	2.2723943566311999e-10	5.359420652432075e-10	15
SP140L	2.759376	2.462603976735168e-10	5.787553411833532e-10	15
OASL	2.665631	3.158388477793054e-10	7.396694327384201e-10	15
BTN3A3	2.490164	3.3706047977685416e-10	7.884455667294835e-10	15
CTSW	1.9435512	3.772331399374653e-10	8.793313285255601e-10	15
PCGF5	1.7499201	4.008442844373219e-10	9.332812210414946e-10	15
SLAMF6	3.610174	4.186245749442311e-10	9.735455231261187e-10	15
LOC643733	4.065936	4.2336123946564325e-10	9.834175132767556e-10	15
ZNF267	1.7657254	4.725064587761019e-10	1.0931467126311452e-09	15
GPR18	3.3667746	8.124702857036239e-10	1.8656034114893775e-09	15
NT5C3	1.7073758	8.647595427023621e-10	1.9788547887925906e-09	15
ADA	2.088521	1.3469625942743851e-09	3.0578038462528606e-09	15
S1PR4	3.9458954	1.6914608536094015e-09	3.835512139703858e-09	15
STOM	1.0008575	1.8421966326141343e-09	4.172585804335525e-09	15
TXK	3.8912544	2.2754298381950824e-09	5.142214323604706e-09	15
IL18RAP	3.8004267	3.446297473982198e-09	7.735796799062173e-09	15
IL2RA	4.7785497	3.838977026974756e-09	8.597932871164067e-09	15
LOC541471	1.6912652	4.228872003408211e-09	9.4499933037055e-09	15
ITGB7	3.0248194	4.632111878043978e-09	1.0316507523483246e-08	15
CD200R1	3.4736958	4.734764919857696e-09	1.0533403603687866e-08	15
TFRC	1.289988	5.58356596799793e-09	1.2380412345893414e-08	15
CTSS	1.0826916	7.614655112299848e-09	1.684658210685807e-08	15
PRF1	1.7206262	1.3846765058851819e-08	3.0499482508484184e-08	15
ACSL5	2.5504878	1.5761353021685554e-08	3.464033631139682e-08	15
SRSF10	1.1517509	1.9621549282892005e-08	4.3076946834010986e-08	15
ZBED2	4.1855445	2.2499105640106758e-08	4.9286102168908555e-08	15
ISG15	1.0396761	3.540306884530431e-08	7.72992769548129e-08	15
KLRG1	2.5623002	3.9538103485783086e-08	8.588347792072472e-08	15
MCOLN2	2.8229523	4.4439199162831416e-08	9.639739514713972e-08	15
MST4	2.3920333	4.656715062148407e-08	1.0090390167168813e-07	15
F2R	1.5268247	4.896675566846284e-08	1.0587406631018992e-07	15
C12orf75	1.7235029	5.6047815176184915e-08	1.2079270512108818e-07	15
APOL3	2.5654488	7.171469508627237e-08	1.5439116272609766e-07	15
CCR2	4.608961	7.373997976605733e-08	1.5841026802590186e-07	15
OAS2	2.2273054	8.245739091090799e-08	1.7656828888845393e-07	15
TNFRSF9	3.8984702	1.1788663573398955e-07	2.510897459722887e-07	15
RPS6KA1	2.3627405	1.3564193230113722e-07	2.8768172280198773e-07	15
CASP3	1.4359424	1.365608223748066e-07	2.893237762178106e-07	15
BST2	1.3277056	1.78857188110847e-07	3.7733583989630174e-07	15
DANCR	1.3096277	2.506025414636256e-07	5.253722043262591e-07	15
KPNA2	1.1047869	2.801361883161554e-07	5.860589713727101e-07	15
LAX1	2.6283572	2.8952050629106217e-07	6.050585293439126e-07	15
GIMAP2	1.8087108	3.334558418349449e-07	6.918170992426243e-07	15
CMAHP	2.6813376	3.9859015594475445e-07	8.237516623060371e-07	15
SCARNA17	2.5073693	3.9869580455612193e-07	8.237516623060371e-07	15
TTC39B	2.5095756	4.0036843945901587e-07	8.263538482126231e-07	15
ALDOC	3.1718915	4.018486231727868e-07	8.285538622119315e-07	15
AREG	1.838982	4.23883476413519e-07	8.730864601720268e-07	15
PPP2R2B	3.4656923	4.402224492885083e-07	9.058075088240912e-07	15
ANXA2R	3.0072637	5.945963588520584e-07	1.218435161582087e-06	15
HIST1H1D	2.748428	7.986070269312902e-07	1.6314750294816961e-06	15
GABPB1	1.4434386	8.297921122271056e-07	1.6934532902593991e-06	15
REREP3	4.075277	8.48876392319927e-07	1.73063484672768e-06	15
LRMP	2.0526934	8.743574142687804e-07	1.7807686644985346e-06	15
SLFN12L	3.4698372	9.161943929790538e-07	1.8621837255671827e-06	15
GCH1	2.2386036	9.285242990961328e-07	1.8834164281868819e-06	15
CYSLTR1	3.1724489	1.2739504852904923e-06	2.576239606249732e-06	15
ABI3	1.5229692	2.1314964921910976e-06	4.275820445719353e-06	15
STAMBPL1	3.0875392	2.156153709109956e-06	4.3166240422621746e-06	15
TARP	1.8681856	2.5211329839545746e-06	5.022177258873655e-06	15
NMRK1	1.1490594	3.081696975665655e-06	6.108418187642528e-06	15
MX1	1.4454376	3.660836203713636e-06	7.220584228232024e-06	15
DDX47	1.1003313	4.209808846263914e-06	8.278876787146341e-06	15
